"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","73/2120","175/9399",0.417142857142857,1.84939892183288,6.12097877725655,8.90426824336172e-09,3.1164938851766e-06,2.12765146446643e-06,"22926/1388/581/596/823/8454/1649/79139/91319/3337/3300/64215/54431/5611/9695/80267/9451/27248/30001/56605/26232/9709/3326/7184/3303/3304/23640/3998/10905/57134/5609/4217/5599/51360/55768/10956/58505/10130/9373/23645/10113/5589/5886/6184/6185/6238/6396/10483/10802/10427/9871/22872/29927/6400/55829/6745/201595/258010/7186/23471/133022/81567/7323/7326/51465/29979/56893/51035/23190/80700/7353/56886/7494",73
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","54/2120","119/9399",0.453781512605042,2.01183605517679,5.99458930393051,2.5595606236363e-08,4.47923109136352e-06,3.05800137666021e-06,"6868/207/1386/1388/330/843/836/841/6347/8837/1147/1435/6376/2919/3627/2920/2921/6372/1540/153090/1906/3600/3553/3659/83737/3725/3726/6416/5608/5609/4217/6885/1326/5594/6300/1432/5595/5599/4314/4318/4790/5290/5296/8503/5743/5970/64285/8986/6401/10454/8717/7186/7187/7188",54
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","45/2120","94/9399",0.478723404255319,2.12241569650743,5.9021366544898,5.18368579515014e-08,6.04763342767516e-06,4.12876026490906e-06,"51433/836/841/6347/6354/1147/2919/3627/2920/2921/6372/3576/1994/2932/3326/7184/3458/84818/132014/3553/3725/3727/6885/5594/6300/1432/225689/5595/5598/5599/4312/4314/4318/727897/4790/5743/5970/6280/29110/8717/7186/7187/7188/7189/29761",45
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","53/2120","122/9399",0.434426229508197,1.92602459016393,5.55582359045138,2.01476986479248e-07,1.3251484219804e-05,9.04687794855794e-06,"207/8915/940/915/925/1019/1147/1493/2534/9402/2932/3265/29851/3458/3702/3725/3937/10892/5605/5609/6885/1326/5594/6300/1432/5595/5599/4690/4773/4790/4793/10298/5290/5296/8503/5518/5520/5523/28227/55012/5526/5527/5528/5529/5533/5588/5781/5788/10125/5970/6654/6655/7535",53
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","58/2120","138/9399",0.420289855072464,1.86335110746514,5.51375979954476,2.18118468022818e-07,1.3251484219804e-05,9.04687794855794e-06,"10096/653857/207/9138/8874/10458/9564/6347/925/1147/3576/9844/2212/2533/9815/2776/2932/3553/3654/51135/3661/3676/3725/3937/3984/5605/6416/5608/5609/6885/5594/6300/1432/5595/5599/4773/4790/5290/5296/8503/8395/23396/5585/5586/2185/29108/5970/6195/6197/27330/8935/6714/10454/29110/7099/7186/7189/7535",58
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","91/2120","248/9399",0.366935483870968,1.62680500608643,5.39850875761221,2.27168300910926e-07,1.3251484219804e-05,9.04687794855794e-06,"10006/10096/653857/79026/207/26084/55207/581/596/330/836/837/838/841/1147/3576/54205/26999/9266/27128/1639/10540/84516/1783/79659/140735/83658/9844/55770/60412/23265/2316/79443/9648/79792/3265/3326/7184/3553/3654/51135/3725/64837/89953/3836/3839/51176/23643/4074/5605/6416/5608/5609/6885/5594/6300/1432/5595/5599/4636/10398/4671/3071/4790/5289/5290/5294/5585/5788/29108/5869/5970/399/8767/6237/112574/257364/8677/10454/83439/7097/7099/7100/10333/8743/8717/7186/7189/10383/25828/23339",91
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","78/2120","205/9399",0.380487804878049,1.68688909341924,5.36612879963147,3.07573137131931e-07,1.44590847379037e-05,9.87131499399743e-06,"11047/207/567/581/596/10018/836/841/595/894/930/915/965/1019/1147/1380/3627/54205/1871/953/2208/10912/3280/3112/3113/3122/3123/3126/3134/3455/3654/51135/3661/3665/3683/3725/4067/6416/5608/5609/6885/6300/1432/5599/4193/9612/4734/4790/4791/4793/4940/5290/5296/8503/51426/5702/5705/5707/5710/9861/5925/11317/5970/864/6502/6772/6850/10454/6892/29110/7097/8717/7186/7187/7188/7189/7297/7874",78
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","47/2120","105/9399",0.447619047619048,1.98451482479784,5.47476354446958,3.3609855904055e-07,1.44590847379037e-05,9.87131499399743e-06,"472/8915/596/597/598/330/29775/8837/1147/1460/2919/2920/2921/3576/1540/1896/128178/10912/3553/3654/51135/3929/4055/23643/4067/10892/6885/4790/4791/51588/55367/10848/5579/5588/5743/5970/6850/10454/7099/10673/8717/7186/7187/7188/7189/7329/7535",47
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","81/2120","216/9399",0.375,1.66255896226415,5.31629298799279,3.71805036117524e-07,1.44590847379037e-05,9.87131499399743e-06,"207/9138/22926/572/581/596/598/808/836/841/6347/1147/2919/2920/2921/3576/1536/54205/1548/1649/9451/30001/356/2932/3265/3326/7184/3303/3304/3553/3654/51135/3661/3665/3708/3717/3725/3929/23643/4067/6416/5608/5609/4217/6885/5594/6300/1432/5595/5599/57534/142678/4312/4314/4318/4773/4790/5290/5296/8503/5331/5451/5533/29108/5908/5970/6257/6401/6648/6714/10454/10010/29110/7097/7099/10333/8743/7186/7187/7189/7494",81
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","64/2120","163/9399",0.392638036809816,1.7407570320639,5.14846084452377,9.89046139192071e-07,3.46166148717225e-05,2.36329972206947e-05,"207/1386/1388/537/572/581/596/843/836/841/1147/3576/54205/1654/1871/1960/356/3265/3339/64135/3654/51135/3661/3665/3717/3725/5605/6416/5608/5609/4214/6885/5594/6300/1432/5595/5599/4318/4773/4776/4790/5290/5296/8503/5579/2185/5925/5970/6654/6655/6714/6772/6775/6778/10454/29110/7040/7043/7048/7097/7099/7187/7189/7297",64
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","71/2120","187/9399",0.379679144385027,1.6833039047523,5.09339704792287,1.13726182568514e-06,3.61856035445273e-05,2.47041564048352e-05,"84168/118429/55054/9474/596/598/330/114769/84674/22900/64170/837/838/841/846/6347/1147/2919/2920/2921/3576/1536/55914/11337/2633/115362/79792/3326/3428/3455/3553/51135/3661/3665/3708/3709/3725/84557/6885/5594/6300/1432/5595/5599/4671/10135/4790/4793/4940/5585/5586/5331/29108/10616/5970/8767/55072/81858/6772/10454/10010/29110/7099/7186/7187/7188/7189/7205/54822/25828/7297",71
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","112/2120","333/9399",0.336336336336336,1.49114397416284,4.92462165609614,1.63920975357866e-06,4.78102844793775e-05,3.26404047423119e-05,"207/324/10297/472/537/527/8992/523/526/528/51382/545/8312/572/581/836/841/595/894/1019/1108/1147/1282/1284/1286/1291/1292/256076/1297/1298/1299/1452/1741/1855/1856/1857/1978/356/2308/7855/8323/8324/8325/2932/3280/57801/84667/23462/26508/3134/3265/3455/3659/3661/3672/3675/3676/3655/3679/3911/3913/3955/3996/5605/5594/5595/4193/2475/4790/4854/4855/8638/84612/5290/5296/8503/5518/5520/5523/28227/55012/5526/5527/5528/5529/5567/5663/5743/5925/5934/11317/5970/5986/23513/6654/6655/6696/6772/29110/387332/83439/7060/7148/8717/7187/7249/7283/7297/7337/23352/7422/51384",112
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","44/2120","101/9399",0.435643564356436,1.93142163272931,5.0788107189147,1.96165705839241e-06,5.28138438797957e-05,3.605636860365e-05,"207/581/596/836/6347/595/1019/1282/1284/1286/3576/1536/1906/1958/2308/3265/3553/3717/3725/5594/6300/1432/5595/5599/4313/4790/5290/5296/8503/5292/5331/5333/113026/5579/5581/5970/6401/5054/6772/7040/7043/7048/7422/7423",44
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","102/2120","300/9399",0.34,1.50738679245283,4.82006332646416,2.76478217907117e-06,6.52722002672205e-05,4.45617728140122e-05,"207/1386/776/8912/93589/782/784/836/1147/1435/1616/1649/1847/1848/1849/1850/51295/1943/2064/356/8074/2252/2316/2323/10912/3265/3303/3304/3315/3481/3553/3556/3654/51135/3725/3727/5605/6416/5608/5609/4214/4294/4296/7786/10746/4217/9064/6885/1326/8491/5594/6300/1432/5595/5598/5599/23542/23162/9261/2122/4208/2872/4763/4790/4791/4804/51701/3164/5154/5155/5533/5567/5579/5778/5908/5921/5922/5924/10125/25780/5970/6195/6197/8986/27330/6237/6654/6655/6722/6789/3925/10454/9344/7010/7040/7043/7048/8717/7186/7189/7422/7423",102
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","36/2120","78/9399",0.461538461538462,2.04622641509434,5.00716057864682,3.27804088421294e-06,6.52722002672205e-05,4.45617728140122e-05,"1378/1379/1536/2209/2212/2214/3112/3113/3122/3123/3126/3458/3459/3553/3654/51135/3676/3717/3725/6885/5594/6300/1432/5595/4790/4793/5579/5743/5970/6772/10454/7040/7043/7097/7099/7189",36
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","51/2120","125/9399",0.408,1.8088641509434,4.9130008542431,3.33020237654221e-06,6.52722002672205e-05,4.45617728140122e-05,"140/207/427/581/596/624/79603/253782/2534/9846/10672/2776/3265/5605/4217/5594/6300/1432/5595/5599/4790/8439/94101/5290/5296/8503/5331/5338/5518/5520/5523/28227/55012/5526/5527/5528/5529/5579/5581/5970/1901/9294/1903/259230/166929/8879/130367/56848/10558/8717/7186",51
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","46/2120","109/9399",0.422018348623853,1.87101436731868,4.93606081508599,3.35685601374277e-06,6.52722002672205e-05,4.45617728140122e-05,"207/841/942/1147/3627/3576/4283/3455/3553/3654/51135/3661/3665/3725/3929/23643/5605/6416/5608/5609/6885/1326/5594/6300/1432/5595/5599/4790/5290/5296/8503/5970/6696/6772/10454/29110/7096/7097/7099/7100/10333/51311/54472/7187/7189/7297",46
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","46/2120","109/9399",0.422018348623853,1.87101436731868,4.93606081508599,3.35685601374277e-06,6.52722002672205e-05,4.45617728140122e-05,"915/1147/2625/3091/3112/3113/3122/3123/3126/3326/3458/3459/3553/3556/50615/50616/3559/3560/3561/3572/3662/3717/3725/5594/6300/1432/5595/5599/2475/4773/4790/4793/5533/5588/5914/5970/6095/861/6257/6772/6778/30009/7040/7048/7297/7535",46
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","54/2120","137/9399",0.394160583941606,1.74750723040903,4.75634210517395,5.96088239590203e-06,0.000109805728345564,7.49651137877984e-05,"207/472/572/581/27113/596/597/598/10018/330/823/843/836/841/8837/1147/1439/1075/8722/1514/1520/54205/153090/1616/1649/9451/2021/356/10912/3002/3265/3708/3709/3725/4000/84823/5605/4217/5594/5595/5599/4790/8996/10039/143/55367/5290/5296/8503/5970/6709/8743/8717/7186",54
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","46/2120","112/9399",0.410714285714286,1.82089791105121,4.71639565057442,8.06356220190067e-06,0.000141112338533262,9.63383484121816e-05,"207/240/572/596/598/330/836/841/1147/54205/3112/3113/3122/3123/3126/3303/3304/3458/3459/3587/3654/51135/3655/3717/3911/3913/23643/5608/6885/5594/6300/1432/5595/5599/4790/4793/5294/5970/6772/10454/7040/7043/7097/7099/7189/7297",46
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","49/2120","122/9399",0.401639344262295,1.78066424373647,4.68371236319451,8.6625410751139e-06,0.000144375684585232,9.85662568446544e-05,"207/477/478/572/652/595/1734/2308/2626/2932/8841/3091/3265/2648/5605/5594/5595/4193/9968/9969/23389/9282/10025/9862/9442/2475/8648/10499/8202/9611/4854/4855/5208/5211/5214/5290/5296/8503/5331/5333/113026/5567/5579/6257/6548/6714/6772/7067/7249",49
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","70/2120","196/9399",0.357142857142857,1.58338948787062,4.45422052754739,1.61626228064945e-05,0.000257132635557867,0.000175546190290634,"207/22863/581/808/836/841/595/1230/942/1019/1147/2919/2920/2921/3576/54205/1871/2783/2790/2932/3091/3134/3265/3455/3459/3572/3661/3665/3708/3709/3717/3725/51176/4067/84557/5605/6416/5608/5609/5594/6300/1432/5595/5599/9261/100507436/2475/4773/4776/4790/5155/5289/5290/5294/5296/8503/5533/5743/5925/5970/6714/6772/6850/29110/83439/8717/7186/7187/7297/7422",70
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","62/2120","169/9399",0.366863905325444,1.62648766328012,4.43511429463676,1.89411547408396e-05,0.00028823496344756,0.000196779960007808,"207/84335/22863/55054/23130/55102/9474/10533/572/596/598/57448/203228/10645/8837/1514/1613/54541/9451/57724/11337/3091/3265/3708/3920/84557/5605/6885/5594/5595/5599/9110/2475/29982/5289/5290/5296/8503/30849/5567/5588/116442/9821/6237/8878/6794/55014/8417/55578/170067/10010/8887/29110/58476/7189/7249/8408/7405/8673/81671/23339/55255",62
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","64/2120","180/9399",0.355555555555556,1.57635220125786,4.21339419312106,4.30019545456308e-05,0.000627111837123782,0.000428133494818341,"207/10189/567/572/581/596/598/330/64170/836/841/6347/1147/54205/1616/8890/1978/356/3054/3112/3113/3122/3123/3126/3134/64135/3455/3458/3459/3553/3654/51135/3661/3665/3717/6885/2475/4790/4940/5290/5296/8503/5371/5451/5781/5970/6672/6714/6732/6432/6772/6850/10454/6892/29110/7097/8717/7186/7187/7188/7189/7249/7297/56829",64
"Human Diseases","Infectious disease: viral","hsa05162","Measles","51/2120","136/9399",0.375,1.66255896226415,4.20018042167483,5.23088844231201e-05,0.000732324381923682,0.000499962811117822,"207/572/581/27113/596/598/836/841/595/894/940/915/4179/1019/1147/1460/54205/356/2932/3303/3304/64135/3455/3553/3559/3560/3561/3654/51135/3661/3665/3725/6885/5599/4790/4793/4940/5290/5296/8503/5970/6504/6772/29110/7097/7099/7161/8717/7187/7189/7297",51
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","21/2120","41/9399",0.51219512195122,2.27081224114128,4.40079956061622,5.48802453528134e-05,0.000738772533595565,0.000504365007898326,"595/999/1019/3576/1613/1871/2064/1839/3265/5605/5594/5595/4193/4312/4313/4318/11186/5925/6714/1890/7422",21
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","83/2120","250/9399",0.332,1.47191886792453,4.08131695138322,6.06525546535358e-05,0.000768036577313801,0.000524343768572129,"23527/116983/10096/653857/116988/160/116984/377/26286/10565/10564/50807/274/829/5119/27243/29082/92421/1212/3577/3579/7852/9266/27128/26052/10938/30846/30845/29924/55040/28964/9815/6011/157/2868/2869/9146/3134/3265/3303/3304/3559/3560/3561/23096/83737/4193/93343/4734/84612/10015/8395/23396/5338/5371/5662/84249/9230/80223/9727/26056/5869/10193/80230/6455/6456/56904/64744/6642/29934/6643/27131/6714/10254/10617/7037/7048/7189/51160/51028/23325/9897/9765",83
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","30/2120","68/9399",0.441176470588235,1.95595172031077,4.26949109271293,6.14429261851041e-05,0.000768036577313801,0.000524343768572129,"207/572/597/595/1147/1848/1978/2209/3265/3728/51176/5605/5594/5595/2475/4790/5290/5296/8503/5292/11040/5371/5467/5914/5970/861/6654/6655/6688/83439",30
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","38/2120","95/9399",0.4,1.77339622641509,4.08863923276516,9.53890837080472e-05,0.00114114678932322,0.000779068635116906,"537/527/8992/523/526/528/51382/6347/940/942/1435/1493/1514/2919/2920/2921/6372/3576/3112/3113/3122/3123/3126/3458/3600/3553/3683/3725/4312/4314/7010/7040/7043/7097/7099/8741/10673/7422",38
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","41/2120","105/9399",0.39047619047619,1.73117250673854,4.06595866693281,9.78125819419904e-05,0.00114114678932322,0.000779068635116906,"207/8915/808/64170/841/1147/338339/64581/1540/1960/3265/3553/3659/3708/3709/3725/4046/10892/5594/6300/1432/5595/5599/9261/4193/4773/4776/4790/4791/5290/5296/8503/5533/5743/5781/29108/5970/6237/6714/6772/6850",41
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","37/2120","93/9399",0.397849462365591,1.76386183810103,3.99507148681127,0.000133878499062834,0.00148528760159849,0.00101401589642965,"915/1147/28514/2625/3112/3113/3122/3123/3126/3458/3459/3559/3560/3561/3714/3717/3725/5594/6300/1432/5595/5599/4773/4790/4793/4854/5533/5588/11317/5970/864/6772/6775/6778/30009/7297/7535",37
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","40/2120","103/9399",0.388349514563107,1.72174390914087,3.97469193384908,0.000136103043859588,0.00148528760159849,0.00101401589642965,"207/624/841/6347/915/8837/1147/3576/356/2767/9630/2776/3458/3459/3553/3654/51135/3725/6416/5594/6300/1432/5595/5599/4790/5290/5296/8503/5331/5518/5520/5970/5054/7040/7043/7048/7097/7099/10333/7189",40
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","45/2120","120/9399",0.375,1.66255896226415,3.94197948451039,0.000141133671416757,0.00148528760159849,0.00101401589642965,"207/396/572/581/596/27018/808/814/356/2932/3265/3654/11213/51135/3725/5605/5609/4214/4217/5594/6300/1432/5595/5598/5599/9261/4790/4793/4804/5290/5296/8503/5663/5781/5908/5970/8767/6195/6197/27330/25970/6654/6655/7161/7189",45
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","36/2120","90/9399",0.4,1.77339622641509,3.97852030966112,0.000144285081298139,0.00148528760159849,0.00101401589642965,"207/29126/940/915/1147/1460/27436/3091/3265/3458/3459/3717/3725/5605/5608/5594/6300/1432/5595/2475/4773/4790/4793/5290/5296/8503/5533/5588/5781/10125/5970/6772/7097/7099/7189/7535",36
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","82/2120","253/9399",0.324110671936759,1.43694160638377,3.80205026521708,0.000167425428462609,0.00167425428462609,0.0011430247296545,"81/10096/653857/207/84335/22863/55054/9474/472/581/9564/8915/596/598/823/826/837/1147/2017/8454/3576/54205/9266/27128/9844/2308/4303/100132074/11146/2932/3553/3611/3661/3708/3709/3725/10892/84557/6885/5594/6300/1432/5595/5599/4193/2475/4636/10398/4671/4790/4793/5289/5290/5296/8503/30849/5331/5333/113026/5581/5588/29108/10616/5970/8767/55072/23176/10801/81858/8878/6714/10454/29110/92610/7099/7100/8717/7186/7188/7189/7307/7323",82
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","51/2120","142/9399",0.359154929577465,1.59230999202764,3.83802580611338,0.000187008489742621,0.00181813809471993,0.00124125518045541,"207/814/1147/1435/1540/2209/2212/2214/2355/2534/9846/3455/3458/3459/3553/3708/3709/3725/3726/3727/3937/353514/5608/5609/6885/5594/6300/1432/5595/5599/4773/4790/4791/5290/5296/8503/5533/5970/10326/55423/6688/8878/6772/6850/10454/7040/7048/169200/7186/7189/7297",51
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","38/2120","99/9399",0.383838383838384,1.70174385363065,3.7879525626749,0.00026217259857609,0.00248001106761166,0.00169312033788826,"115/207/572/581/596/595/1019/1565/28514/1871/2064/2852/1839/3265/3714/3725/5605/5594/6300/1432/5595/5599/4193/4313/4318/2475/8202/9611/4854/4855/5290/5296/8503/5567/5925/6654/6655/6714",38
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","33/2120","83/9399",0.397590361445783,1.76271311661741,3.76647693729536,0.000306907791414047,0.0028267822893399,0.00192986339753431,"121536/55252/8314/63035/8535/23466/23492/100532731/1460/8726/2146/64319/57666/221937/3054/3720/84456/84458/55777/114785/22823/8473/84759/7703/84333/5252/5928/6015/23429/6322/7323/10600/7874",33
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","61/2120","181/9399",0.337016574585635,1.49415980402377,3.62274814506164,0.000352043226753852,0.00315936229138072,0.00215691801546894,"207/537/527/572/581/8915/596/808/64170/843/836/841/64581/1378/1379/1520/54205/2209/2212/2214/3112/3113/3122/3123/3126/3458/3459/3587/3553/3654/51135/3687/3717/3920/3929/4046/10892/5594/6300/1432/5595/5599/9902/4790/5289/5533/5869/5970/8767/56848/6714/6772/6850/7040/7043/7096/7097/7099/10333/8717/7189",61
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","24/2120","56/9399",0.428571428571429,1.90006738544474,3.64565573568795,0.000551493114130935,0.00482556474864568,0.00329444570809795,"836/841/1378/1379/2919/2920/2921/3576/54205/10767/3297/3303/3304/3553/4671/4790/4791/29108/81876/5970/9554/7097/7099/7100",24
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","26/2120","63/9399",0.412698412698413,1.82969451931716,3.565807266201,0.000665352938610929,0.00567984215887379,0.00387766667688526,"6868/83464/6310/28514/196403/1855/1856/1857/3280/23462/26508/83737/3714/2648/3955/9612/4854/4855/8650/9253/5663/11317/5986/7088/7089/7091",26
